Quarter,Time,Tm,Detail,ARI,BUF
1.0,7:47,Cardinals,Michael Wilson 5 yard pass from Kyler Murray (Matt Prater kick),7,0
2.0,14:57,Cardinals,Matt Prater 29 yard field goal,10,0
,9:47,Bills,Tyler Bass 37 yard field goal,10,3
,2:40,Cardinals,James Conner 3 yard rush (Matt Prater kick),17,3
,0:19,Bills,Josh Allen 7 yard rush (Tyler Bass kick),17,10
3.0,9:51,Bills,Mack Hollins 11 yard pass from Josh Allen (Tyler Bass kick),17,17
,2:37,Bills,Khalil Shakir 11 yard pass from Josh Allen (Tyler Bass kick),17,24
4.0,13:32,Cardinals,Matt Prater 31 yard field goal,20,24
,8:44,Bills,Josh Allen 6 yard rush (Tyler Bass kick),20,31
,8:31,Cardinals,DeeJay Dallas 96 yard kickoff return (James Conner run),28,31
,1:56,Bills,Tyler Bass 39 yard field goal,28,34
