Quarter,Time,Tm,Detail,DAL,CLE
1.0,9:23,Browns,Dustin Hopkins 51 yard field goal,0,3
,6:55,Cowboys,Brandin Cooks 21 yard pass from Dak Prescott (Brandon Aubrey kick),7,3
2.0,5:15,Cowboys,Ezekiel Elliott 3 yard rush (Brandon Aubrey kick),14,3
,2:06,Cowboys,Brandon Aubrey 57 yard field goal,17,3
,0:51,Cowboys,Brandon Aubrey 40 yard field goal,20,3
3.0,12:59,Cowboys,KaVontae Turpin 60 yard punt return (Brandon Aubrey kick),27,3
,8:42,Browns,Jerry Jeudy 6 yard pass from Deshaun Watson (Dustin Hopkins kick),27,10
,1:27,Cowboys,Brandon Aubrey 50 yard field goal,30,10
4.0,11:51,Cowboys,Brandon Aubrey 46 yard field goal,33,10
,0:29,Browns,Jerome Ford 2 yard rush (Dustin Hopkins kick),33,17
