Quarter,Time,Tm,Detail,HOU,IND
1.0,6:44,Texans,Ka'imi Fairbairn 51 yard field goal,3,0
,5:12,Colts,Alec Pierce 60 yard pass from Anthony Richardson (Spencer Shrader kick),3,7
,1:37,Texans,Ka'imi Fairbairn 50 yard field goal,6,7
2.0,11:31,Texans,Stefon Diggs 9 yard pass from C.J. Stroud (run failed),12,7
3.0,10:55,Texans,Ka'imi Fairbairn 51 yard field goal,15,7
,5:40,Colts,Jonathan Taylor 5 yard rush (run failed),15,13
4.0,13:41,Texans,Joe Mixon 3 yard rush (Ka'imi Fairbairn kick),22,13
,12:12,Colts,Ashton Dulin 54 yard pass from Anthony Richardson (Spencer Shrader kick),22,20
,4:42,Texans,Stefon Diggs 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),29,20
,2:14,Colts,Anthony Richardson 3 yard rush (Spencer Shrader kick),29,27
