Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Darnold,MIN,19,24,208,2,1,1,7,44,113.2,3,3,0,3,0,0,0,0,0,0,0
Aaron Jones,MIN,0,0,0,0,0,0,0,0,,14,94,1,19,2,2,15,0,9,0,0
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,8,17,0,6,3,3,25,0,10,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,59,1,44,0,0
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,16,0,0
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,22,0,0
Jalen Nailor,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,1,1
Myles Gaskin,MIN,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Daniel Jones,NYG,22,42,186,0,2,5,20,25,44.3,6,15,0,7,0,0,0,0,0,0,0
Devin Singletary,NYG,0,0,0,0,0,0,0,0,,10,37,0,7,5,4,15,0,12,0,0
Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,,1,14,0,14,12,6,44,0,15,0,0
Eric Gray,NYG,0,0,0,0,0,0,0,0,,2,6,0,6,1,1,9,0,9,0,0
Tyrone Tracy Jr.,NYG,0,0,0,0,0,0,0,0,,2,2,0,2,3,1,5,0,5,0,0
Malik Nabers,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,66,0,25,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,0,11,1,0
Theo Johnson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,18,0,18,0,0
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Jalin Hyatt,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
