Quarter,Time,Tm,Detail,WAS,TAM
1.0,11:34,Buccaneers,Chase McLaughlin 56 yard field goal,0,3
,5:08,Buccaneers,Chase McLaughlin 34 yard field goal,0,6
2.0,10:53,Buccaneers,Mike Evans 17 yard pass from Baker Mayfield (Chase McLaughlin kick),0,13
,7:17,Commanders,Brian Robinson Jr. 7 yard rush (Cade York kick),7,13
,0:16,Buccaneers,Chase McLaughlin 29 yard field goal,7,16
3.0,7:11,Buccaneers,Chris Godwin 4 yard pass from Baker Mayfield (Chase McLaughlin kick),7,23
,1:52,Commanders,Jayden Daniels 1 yard rush (Cade York kick),14,23
4.0,14:55,Buccaneers,Jalen McMillan 32 yard pass from Baker Mayfield (Chase McLaughlin kick),14,30
,3:29,Buccaneers,Mike Evans 1 yard pass from Baker Mayfield (Chase McLaughlin kick),14,37
,1:12,Commanders,Jayden Daniels 1 yard rush (pass failed),20,37
