Quarter,Time,Tm,Detail,NYJ,SFO
1.0,10:58,49ers,Jake Moody 46 yard field goal,0,3
,3:51,Jets,Breece Hall 3 yard rush (Greg Zuerlein kick),7,3
2.0,14:04,49ers,Jake Moody 51 yard field goal,7,6
,6:54,49ers,Deebo Samuel 2 yard rush (Jake Moody kick),7,13
,0:04,49ers,Jake Moody 31 yard field goal,7,16
3.0,7:42,49ers,Jordan Mason 5 yard rush (Jake Moody kick),7,23
,3:28,49ers,Jake Moody 53 yard field goal,7,26
,1:39,Jets,Allen Lazard 36 yard pass from Aaron Rodgers (run failed),13,26
4.0,9:43,49ers,Jake Moody 23 yard field goal,13,29
,4:20,49ers,Jake Moody 42 yard field goal,13,32
,0:25,Jets,Allen Lazard 3 yard pass from Tyrod Taylor (pass failed),19,32
