Quarter,Time,Tm,Detail,LVR,BAL
1.0,8:29,Ravens,Justin Tucker 48 yard field goal,0,3
2.0,9:19,Raiders,Daniel Carlson 53 yard field goal,3,3
,6:00,Ravens,Justin Tucker 42 yard field goal,3,6
,1:37,Raiders,Daniel Carlson 51 yard field goal,6,6
,0:03,Ravens,Justin Tucker 32 yard field goal,6,9
3.0,11:42,Ravens,Zay Flowers 8 yard pass from Lamar Jackson (Justin Tucker kick),6,16
,2:36,Raiders,Alexander Mattison 1 yard rush (Daniel Carlson kick),13,16
4.0,12:11,Ravens,Derrick Henry 3 yard rush (Justin Tucker kick),13,23
,9:21,Raiders,Daniel Carlson 25 yard field goal,16,23
,3:54,Raiders,Davante Adams 1 yard pass from Gardner Minshew II (Daniel Carlson kick),23,23
,0:27,Raiders,Daniel Carlson 38 yard field goal,26,23
