Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,ATL,20,29,241,2,0,1,8,41,117.2,4,-1,0,1,0,0,0,0,0,1,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,14,97,0,19,5,4,25,0,13,0,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,9,53,0,15,1,1,12,0,12,0,0
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,1,3,0,3,5,3,42,0,18,0,0
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,88,1,41,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,54,1,19,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,0,11,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jalen Hurts,PHI,23,30,183,1,1,1,4,19,88.6,13,85,1,23,0,0,0,0,0,0,0
Saquon Barkley,PHI,0,0,0,0,0,0,0,0,,22,95,0,11,5,4,21,0,10,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,2,6,0,4,0,0,0,0,0,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,76,1,19,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,0,16,0,0
Britain Covey,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,23,0,9,0,0
Grant Calcaterra,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,15,0,0
Jahan Dotson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Johnny Wilson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
