Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jared Goff,DET,18,23,199,2,1,2,13,24,113.6,3,6,0,8,0,0,0,0,0,0,0
David Montgomery,DET,0,0,0,0,0,0,0,0,,23,105,1,16,3,3,17,0,9,0,0
Jahmyr Gibbs,DET,0,0,0,0,0,0,0,0,,16,83,0,18,0,0,20,1,20,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,75,1,20,0,0
Sam LaPorta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,36,0,24,0,0
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,0,11,0,0
Tim Patrick,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Jameson Williams,DET,0,0,0,0,0,0,0,0,,1,-7,0,-7,3,1,9,0,9,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kyler Murray,ARI,21,34,207,1,1,1,7,28,76.5,5,45,0,21,0,0,0,0,0,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,9,17,0,7,1,1,8,0,8,0,0
Trey Benson,ARI,0,0,0,0,0,0,0,0,,2,8,0,6,0,0,0,0,0,0,0
Emari Demercado,ARI,0,0,0,0,0,0,0,0,,2,7,0,6,0,0,0,0,0,0,0
Marvin Harrison Jr.,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,64,1,17,0,0
Michael Wilson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,64,0,28,0,0
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,35,0,13,0,0
Trey McBride,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,25,0,9,0,0
Elijah Higgins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
