Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CAR,26,37,319,3,0,2,13,35,123.6,2,-2,0,0,0,0,0,0,0,0,0
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,21,114,0,14,5,5,55,1,20,0,0
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,7,17,1,6,2,2,13,0,11,0,0
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,1,2,0,2,4,3,18,0,15,0,0
Diontae Johnson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,122,1,35,0,0
Xavier Legette,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,42,0,35,0,0
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,40,1,31,0,0
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,20,0,0
Ja'Tavion Sanders,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Gardner Minshew II,LVR,18,28,214,1,1,2,8,54,84.5,3,14,0,10,0,0,0,0,0,0,0
Aidan O'Connell,LVR,9,12,82,1,0,1,12,16,120.8,0,0,0,0,0,0,0,0,0,0,0
Zamir White,LVR,0,0,0,0,0,0,0,0,,10,34,0,9,0,0,0,0,0,0,0
Alexander Mattison,LVR,0,0,0,0,0,0,0,0,,3,7,1,3,3,3,37,0,22,0,0
Tre Tucker,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,96,1,54,0,0
Jakobi Meyers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,62,1,16,0,0
Brock Bowers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,0,21,0,0
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,40,0,15,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,9,0,0
Michael Mayer,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
