Quarter,Time,Tm,Detail,CAR,LVR
1.0,10:13,Panthers,Chuba Hubbard 6 yard pass from Andy Dalton (Eddy Pi̱eiro kick),7,0
,0:24,Raiders,Alexander Mattison 2 yard rush (Daniel Carlson kick),7,7
2.0,9:28,Panthers,Diontae Johnson 5 yard pass from Andy Dalton (Eddy Pi̱eiro kick),14,7
,0:28,Panthers,Adam Thielen 31 yard pass from Andy Dalton (Eddy Pi̱eiro kick),21,7
3.0,9:59,Panthers,Eddy Pi̱eiro 43 yard field goal,24,7
,4:46,Panthers,Eddy Pi̱eiro 35 yard field goal,27,7
4.0,13:33,Panthers,Miles Sanders 1 yard rush (pass failed),33,7
,10:56,Raiders,Jakobi Meyers 13 yard pass from Gardner Minshew II (Jakobi Meyers pass from Gardner Minshew II),33,15
,4:47,Panthers,Eddy Pi̱eiro 26 yard field goal,36,15
,0:56,Raiders,Tre Tucker 8 yard pass from Aidan O'Connell (Daniel Carlson kick),36,22
