Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brock Purdy,SFO,22,30,292,3,0,1,4,34,137.1,10,41,0,11,0,0,0,0,0,1,1
Jordan Mason,SFO,0,0,0,0,0,0,0,0,,19,77,0,18,2,2,11,0,7,0,0
Isaac Guerendo,SFO,0,0,0,0,0,0,0,0,,5,19,0,6,0,0,0,0,0,0,0
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,12,11,175,3,34,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,48,0,12,0,0
Eric Saubert,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,41,0,17,0,0
Ronnie Bell,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,12,0,12,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jake Brendel,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2,1,0
Dominick Puni,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-3,0,-3,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,LAR,16,25,221,1,0,3,23,50,105.6,0,0,0,0,0,0,0,0,0,0,0
Tutu Atwell,LAR,0,1,0,0,0,0,0,0,39.6,0,0,0,0,5,4,93,0,50,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,24,89,2,13,2,2,27,1,15,0,0
Ronnie Rivers,LAR,0,0,0,0,0,0,0,0,,2,9,0,7,0,0,0,0,0,0,0
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,32,0,32,0,0
Jordan Whittington,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,0,15,0,0
Colby Parkinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,9,0,0
Tyler Johnson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,0,9,0,0
