Quarter,Time,Tm,Detail,JAX,BUF
1.0,9:34,Bills,James Cook 6 yard rush (Tyler Bass kick failed),0,6
,3:25,Bills,Dalton Kincaid 6 yard pass from Josh Allen (Tyler Bass kick),0,13
2.0,10:39,Jaguars,Cam Little 41 yard field goal,3,13
,6:19,Bills,Keon Coleman 24 yard pass from Josh Allen (Tyler Bass kick),3,20
,2:04,Bills,Khalil Shakir 27 yard pass from Josh Allen (Tyler Bass kick),3,27
,0:19,Bills,Ty Johnson 16 yard pass from Josh Allen (Tyler Bass kick),3,34
3.0,11:15,Jaguars,Brenton Strange 6 yard pass from Trevor Lawrence (Cam Little kick),10,34
,5:03,Bills,Tyler Bass 27 yard field goal,10,37
4.0,7:45,Bills,Tyler Bass 43 yard field goal,10,40
,4:04,Bills,Ray Davis 3 yard rush (Tyler Bass kick),10,47
