Quarter,Time,Tm,Detail,TEN,MIA
2.0,14:16,Titans,Nick Folk 53 yard field goal,3,0
,8:20,Titans,Nick Folk 52 yard field goal,6,0
,4:13,Dolphins,Jason Sanders 44 yard field goal,6,3
,0:00,Titans,Nick Folk 47 yard field goal,9,3
3.0,9:02,Dolphins,Jason Sanders 56 yard field goal,9,6
,6:00,Titans,Tyjae Spears 7 yard rush (Nick Folk kick),16,6
,0:36,Titans,Nick Folk 51 yard field goal,19,6
4.0,10:45,Titans,Nick Folk 29 yard field goal,22,6
,3:36,Dolphins,Tyler Huntley 1 yard rush (pass failed),22,12
,2:27,Titans,"Safety, Tyler Huntley intentional grounding in end zone",24,12
,0:24,Titans,Tony Pollard 4 yard rush (Nick Folk kick),31,12
