Quarter,Time,Tm,Detail,TAM,ATL
1,11:54,Falcons,Drake London 18 yard pass from Kirk Cousins (Younghoe Koo kick),0,7
,7:36,Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),7,7
,1:22,Buccaneers,Chase McLaughlin 53 yard field goal,10,7
2,11:58,Falcons,Darnell Mooney 24 yard pass from Kirk Cousins (Younghoe Koo kick),10,14
,10:17,Buccaneers,Mike Evans 23 yard pass from Baker Mayfield (Chase McLaughlin kick),17,14
,6:17,Falcons,Younghoe Koo 54 yard field goal,17,17
,1:56,Buccaneers,Sterling Shepard 4 yard pass from Baker Mayfield (Chase McLaughlin kick),24,17
3,6:21,Falcons,Younghoe Koo 48 yard field goal,24,20
,1:17,Buccaneers,Chase McLaughlin 32 yard field goal,27,20
4,13:18,Falcons,Darnell Mooney 12 yard pass from Kirk Cousins (Younghoe Koo kick),27,27
,10:23,Buccaneers,Chase McLaughlin 53 yard field goal,30,27
,0:00,Falcons,Younghoe Koo 52 yard field goal,30,30
OT,8:45,Falcons,KhaDarel Hodge 45 yard pass from Kirk Cousins,30,36
