Quarter,Time,Tm,Detail,IND,JAX
1.0,8:49,Colts,Michael Pittman Jr. 1 yard pass from Joe Flacco (Matt Gay kick),7,0
2.0,8:57,Jaguars,Cam Little 23 yard field goal,7,3
,7:02,Jaguars,Brian Thomas 85 yard pass from Trevor Lawrence (Cam Little kick),7,10
,1:44,Colts,Matt Gay 30 yard field goal,10,10
,0:04,Jaguars,Cam Little 30 yard field goal,10,13
3.0,7:13,Jaguars,Tank Bigsby 19 yard rush (Cam Little kick),10,20
4.0,14:54,Colts,Mo Alie-Cox 18 yard pass from Joe Flacco (Matt Gay kick),17,20
,9:59,Jaguars,Brenton Strange 4 yard pass from Trevor Lawrence (Cam Little kick),17,27
,6:00,Colts,Matt Gay 37 yard field goal,20,27
,5:09,Jaguars,Tank Bigsby 65 yard rush (Cam Little kick),20,34
,4:27,Colts,Trey Sermon 1 yard rush (Matt Gay kick),27,34
,2:40,Colts,Alec Pierce 65 yard pass from Joe Flacco (Matt Gay kick),34,34
,0:17,Jaguars,Cam Little 49 yard field goal,34,37
