Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,NYJ,29,54,244,2,3,3,26,25,54.9,0,0,0,0,0,0,0,0,0,1,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,9,23,0,10,4,3,14,0,6,0,0
Braelon Allen,NYJ,0,0,0,0,0,0,0,0,,5,13,0,7,2,1,15,0,15,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,23,13,101,1,16,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,55,0,25,0,0
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,34,1,14,0,0
Mike Williams,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,25,0,18,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Darnold,MIN,14,31,179,0,1,4,32,27,50.3,5,11,0,10,0,0,0,0,0,1,1
Nick Mullens,MIN,1,1,24,0,0,0,0,24,118.7,0,0,0,0,0,0,0,0,0,0,0
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,14,30,0,5,2,2,9,0,8,0,0
Aaron Jones,MIN,0,0,0,0,0,0,0,0,,7,29,0,9,1,1,24,0,24,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,2,10,1,8,0,0,0,0,0,0,0
Myles Gaskin,MIN,0,0,0,0,0,0,0,0,,2,2,0,2,1,1,11,0,11,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,14,6,92,0,27,1,0
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,36,0,26,0,0
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,20,0,0
