Quarter,Time,Tm,Detail,NYG,SEA
1.0,2:14,Seahawks,Rayshawn Jenkins 102 yard fumble return (Jason Myers kick),0,7
2.0,9:09,Giants,Wan'Dale Robinson 7 yard pass from Daniel Jones (Greg Joseph kick),7,7
,0:22,Giants,Greg Joseph 38 yard field goal,10,7
,0:02,Seahawks,Jason Myers 43 yard field goal,10,10
3.0,10:41,Giants,Darius Slayton 30 yard pass from Daniel Jones (Greg Joseph kick),17,10
,6:33,Seahawks,Jason Myers 48 yard field goal,17,13
,0:46,Giants,Greg Joseph 31 yard field goal,20,13
4.0,11:54,Giants,Greg Joseph 24 yard field goal,23,13
,2:09,Seahawks,Jaxon Smith-Njigba 5 yard pass from Geno Smith (Jason Myers kick),23,20
,0:55,Giants,Bryce Ford-Wheaton 60 yard blocked field goal return (run failed),29,20
