Quarter,Time,Tm,Detail,ARI,SFO
1.0,13:12,Cardinals,Kyler Murray 50 yard rush (Chad Ryland kick),7,0
,10:25,49ers,Jake Moody 28 yard field goal,7,3
,2:20,49ers,George Kittle 4 yard pass from Brock Purdy (Jake Moody kick),7,10
2.0,12:43,Cardinals,Chad Ryland 30 yard field goal,10,10
,6:59,49ers,Jake Moody 20 yard field goal,10,13
,4:59,49ers,Deommodore Lenoir 61 yard blocked field goal return (Jake Moody kick),10,20
,0:00,49ers,Mitch Wishnowsky 26 yard field goal,10,23
3.0,9:59,Cardinals,Chad Ryland 42 yard field goal,13,23
4.0,11:25,Cardinals,Elijah Higgins 2 yard pass from Kyler Murray (James Conner run),21,23
,1:37,Cardinals,Chad Ryland 35 yard field goal,24,23
