Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Derek Carr,NOR,18,28,165,2,1,1,8,43,89.1,0,0,0,0,0,0,0,0,0,0,0
Jake Haener,NOR,2,7,17,0,0,0,0,11,39.6,2,11,0,9,0,0,0,0,0,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,11,26,0,9,8,6,40,0,14,0,0
Jamaal Williams,NOR,0,0,0,0,0,0,0,0,,2,9,0,9,0,0,0,0,0,0,0
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,86,1,43,0,0
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,31,0,11,0,0
Foster Moreau,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,1,7,0,0
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,10,0,6,0,0
Mason Tipton,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,2,0,2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Patrick Mahomes,KAN,28,39,331,0,1,2,10,50,86.6,6,22,0,9,0,0,0,0,0,0,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,27,102,1,8,1,1,15,0,15,0,0
Carson Steele,KAN,0,0,0,0,0,0,0,0,,5,12,0,8,0,0,0,0,0,1,0
Xavier Worthy,KAN,0,0,0,0,0,0,0,0,,1,3,1,3,6,3,25,0,18,0,0
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,130,0,50,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,70,0,21,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,33,0,15,0,0
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,0,15,0,0
Samaje Perine,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,15,0,0
Jody Fortson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
