Quarter,Time,Tm,Detail,DET,DAL
1.0,11:21,Cowboys,Brandon Aubrey 34 yard field goal,0,3
,9:06,Lions,David Montgomery 16 yard rush (Jake Bates kick),7,3
2.0,13:28,Lions,Jake Bates 40 yard field goal,10,3
,11:39,Lions,Sam LaPorta 52 yard pass from Jared Goff (Jake Bates kick),17,3
,3:57,Lions,Jake Bates 48 yard field goal,20,3
,0:36,Lions,David Montgomery 1 yard rush (Jake Bates kick),27,3
,0:08,Cowboys,Brandon Aubrey 47 yard field goal,27,6
3.0,12:35,Lions,Jameson Williams 37 yard pass from Jared Goff (Jake Bates kick),34,6
,8:48,Cowboys,Brandon Aubrey 50 yard field goal,34,9
,5:26,Lions,Jake Bates 33 yard field goal,37,9
4.0,14:12,Lions,Jake Bates 33 yard field goal,40,9
,13:18,Lions,Amon-Ra St. Brown 4 yard pass from Jared Goff (Jake Bates kick),47,9
