Quarter,Time,Tm,Detail,TAM,NOR
1.0,10:05,Buccaneers,Chris Godwin 4 yard pass from Baker Mayfield (Chase McLaughlin kick),7,0
,8:42,Buccaneers,Antoine Winfield Jr. 58 yard fumble return (Chase McLaughlin kick),14,0
,4:01,Buccaneers,Chase McLaughlin 26 yard field goal,17,0
2.0,13:43,Saints,Blake Grupe 42 yard field goal,17,3
,13:04,Saints,Rashid Shaheed 54 yard punt return (Blake Grupe kick),17,10
,9:00,Saints,Blake Grupe 29 yard field goal,17,13
,8:37,Saints,Bub Means 10 yard pass from Spencer Rattler (Blake Grupe kick),17,20
,5:39,Buccaneers,Sean Tucker 36 yard pass from Baker Mayfield (Chase McLaughlin kick),24,20
,2:47,Saints,Alvin Kamara 4 yard rush (Blake Grupe kick),24,27
3.0,4:25,Buccaneers,Chris Godwin 55 yard pass from Baker Mayfield (Chase McLaughlin kick),31,27
4.0,12:34,Buccaneers,Cade Otton 8 yard pass from Baker Mayfield (pass failed),37,27
,5:33,Buccaneers,Bucky Irving 1 yard rush (Chase McLaughlin kick),44,27
,1:55,Buccaneers,Sean Tucker 5 yard rush (Chase McLaughlin kick),51,27
