Quarter,Time,Tm,Detail,WAS,BAL
1.0,9:11,Commanders,Austin Seibert 42 yard field goal,3,0
,3:45,Ravens,Justin Tucker 45 yard field goal,3,3
2.0,7:55,Ravens,Derrick Henry 3 yard rush (Justin Tucker kick),3,10
,4:16,Commanders,Terry McLaurin 7 yard pass from Jayden Daniels (Austin Seibert kick),10,10
,0:53,Ravens,Mark Andrews 13 yard pass from Lamar Jackson (Justin Tucker kick),10,17
3.0,12:45,Commanders,Austin Seibert 55 yard field goal,13,17
,8:19,Ravens,Justin Tucker 32 yard field goal,13,20
,2:08,Ravens,Derrick Henry 7 yard rush (Justin Tucker kick),13,27
4.0,12:12,Commanders,Terry McLaurin 6 yard pass from Jayden Daniels (Austin Seibert kick),20,27
,6:18,Ravens,Justin Tucker 39 yard field goal,20,30
,2:48,Commanders,Austin Seibert 49 yard field goal,23,30
