Quarter,Time,Tm,Detail,DET,MIN
1.0,11:43,Vikings,Aaron Jones 34 yard rush (Will Reichard kick),0,7
,5:34,Vikings,Will Reichard 57 yard field goal,0,10
2.0,13:42,Lions,Jahmyr Gibbs 45 yard rush (Jake Bates kick),7,10
,8:39,Lions,Amon-Ra St. Brown 35 yard pass from Jared Goff (Jake Bates kick),14,10
,0:26,Lions,Jahmyr Gibbs 8 yard rush (Jake Bates kick),21,10
3.0,10:42,Vikings,Justin Jefferson 25 yard pass from Sam Darnold (Will Reichard kick),21,17
,5:43,Lions,Kalif Raymond 21 yard pass from Jared Goff (Jake Bates kick),28,17
4.0,14:24,Vikings,Will Reichard 42 yard field goal,28,20
,6:04,Vikings,Will Reichard 48 yard field goal,28,23
,5:50,Vikings,Ivan Pace 36 yard fumble return (pass failed),28,29
,0:15,Lions,Jake Bates 44 yard field goal,31,29
