Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,NYJ,24,39,276,1,2,1,7,57,70.0,0,0,0,0,0,0,0,0,0,0,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,12,38,1,13,9,6,103,0,57,0,0
Isaiah Davis,NYJ,0,0,0,0,0,0,0,0,,1,12,0,12,0,0,0,0,0,0,0
Braelon Allen,NYJ,0,0,0,0,0,0,0,0,,2,4,0,3,1,1,2,0,2,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,61,0,27,0,0
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,58,0,20,0,0
Davante Adams,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,30,0,11,0,0
Mike Williams,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,7,1,5,0,0
Irvin Charles,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,PIT,16,29,264,2,0,1,4,44,109.0,3,3,1,1,0,0,0,0,0,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,21,102,1,34,1,0,0,0,0,0,0
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,12,44,0,10,3,2,15,0,11,0,0
George Pickens,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,111,1,44,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,51,0,30,0,0
Darnell Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,36,0,18,0,0
Calvin Austin III,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,36,0,36,0,0
Van Jefferson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,1,11,0,0
