Quarter,Time,Tm,Detail,BAL,TAM
1.0,10:27,Buccaneers,Mike Evans 25 yard pass from Baker Mayfield (Chase McLaughlin kick),0,7
,0:02,Buccaneers,Chase McLaughlin 23 yard field goal,0,10
2.0,12:29,Ravens,Mark Andrews 9 yard pass from Lamar Jackson (Justin Tucker kick),7,10
,4:23,Ravens,Justice Hill 18 yard pass from Lamar Jackson (Justin Tucker kick),14,10
,0:04,Ravens,Justin Tucker 28 yard field goal,17,10
3.0,12:20,Ravens,Justin Tucker 52 yard field goal,20,10
,7:25,Ravens,Rashod Bateman 49 yard pass from Lamar Jackson (Justin Tucker kick),27,10
,2:53,Ravens,Mark Andrews 4 yard pass from Lamar Jackson (Justin Tucker kick),34,10
4.0,11:24,Buccaneers,Rachaad White 11 yard pass from Baker Mayfield (Sterling Shepard pass from Baker Mayfield),34,18
,6:32,Ravens,Derrick Henry 13 yard pass from Lamar Jackson (Justin Tucker kick),41,18
,3:46,Buccaneers,Bucky Irving 1 yard rush (pass failed),41,24
,1:58,Buccaneers,Rachaad White 23 yard pass from Baker Mayfield (Chase McLaughlin kick),41,31
