Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jalen Hurts,PHI,16,20,236,1,0,0,0,45,132.5,10,37,3,12,0,0,0,0,0,0,0
Saquon Barkley,PHI,0,0,0,0,0,0,0,0,,22,108,0,19,1,1,3,0,3,0,0
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,5,19,0,10,1,0,0,0,0,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,85,1,45,0,0
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,84,0,29,0,0
Grant Calcaterra,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,58,0,28,0,0
Jack Stoll,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Will Shipley,PHI,0,0,0,0,0,0,0,0,,2,-3,0,1,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,26,37,234,1,1,1,12,41,84.7,3,15,0,8,0,0,0,0,0,0,0
Chase Brown,CIN,0,0,0,0,0,0,0,0,,12,32,1,5,4,2,2,0,5,0,0
Zack Moss,CIN,0,0,0,0,0,0,0,0,,5,11,0,4,4,4,28,0,9,1,0
Mike Gesicki,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,73,0,24,1,1
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,54,1,13,0,0
Jermaine Burton,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,41,0,41,0,0
Erick All,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,32,0,28,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
