Quarter,Time,Tm,Detail,PHI,CIN
1.0,4:56,Bengals,Ja'Marr Chase 2 yard pass from Joe Burrow (Evan McPherson kick),0,7
2.0,14:10,Eagles,Jake Elliott 39 yard field goal,3,7
,9:32,Bengals,Evan McPherson 27 yard field goal,3,10
,0:22,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),10,10
3.0,10:35,Eagles,Jalen Hurts 7 yard rush (Jake Elliott kick),17,10
,4:16,Bengals,Chase Brown 4 yard rush (Evan McPherson kick),17,17
,2:43,Eagles,DeVonta Smith 45 yard pass from Jalen Hurts (Jake Elliott kick),24,17
4.0,13:34,Eagles,Jake Elliott 49 yard field goal,27,17
,4:39,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),34,17
,1:55,Eagles,Jake Elliott 47 yard field goal,37,17
