Quarter,Time,Tm,Detail,BAL,CLE
1.0,0:37,Browns,Dustin Hopkins 28 yard field goal,0,3
2.0,11:51,Ravens,Justin Tucker 49 yard field goal,3,3
,3:41,Browns,Dustin Hopkins 33 yard field goal,3,6
,0:27,Ravens,Nelson Agholor 11 yard pass from Lamar Jackson (Justin Tucker kick),10,6
3.0,10:46,Browns,David Njoku 23 yard pass from Jameis Winston (Dustin Hopkins kick),10,13
,4:42,Ravens,Mark Andrews 7 yard pass from Lamar Jackson (Justin Tucker kick),17,13
,2:01,Browns,Cedric Tillman 22 yard pass from Jameis Winston (Dustin Hopkins kick),17,20
4.0,4:55,Browns,Dustin Hopkins 48 yard field goal,17,23
,2:36,Ravens,Derrick Henry 2 yard rush (Justin Tucker kick),24,23
,0:59,Browns,Cedric Tillman 38 yard pass from Jameis Winston (pass failed),24,29
