Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Mason Rudolph,TEN,22,38,266,1,2,1,8,47,66.3,4,29,1,14,0,0,0,0,0,0,0
Tony Pollard,TEN,0,0,0,0,0,0,0,0,,20,94,0,17,4,3,23,0,17,0,0
Julius Chestnut,TEN,0,0,0,0,0,0,0,0,,7,32,0,9,0,0,0,0,0,0,0
Calvin Ridley,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,15,10,143,0,47,1,1
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,39,1,34,0,0
Josh Whyle,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,0,33,0,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,14,0,18,1,1
Tyler Boyd,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,14,0,5,0,0
Jha'Quan Jackson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
Nick Vannett,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jared Goff,DET,12,15,85,3,0,4,33,24,129.9,1,1,0,1,0,0,0,0,0,2,0
Hendon Hooker,DET,2,3,6,0,0,0,0,4,70.1,0,0,0,0,0,0,0,0,0,0,0
David Montgomery,DET,1,1,3,1,0,0,0,3,118.7,9,33,1,9,1,1,5,0,5,0,0
Jahmyr Gibbs,DET,0,0,0,0,0,0,0,0,,11,127,1,70,1,1,6,0,6,0,0
Craig Reynolds,DET,0,0,0,0,0,0,0,0,,3,3,0,3,0,0,0,0,0,0,0
Sam LaPorta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,48,1,24,0,0
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,1,7,0,0
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,1,8,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,1,6,0,0
Isaiah Williams,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,4,0,0
Allen Robinson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tim Patrick,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
