Quarter,Time,Tm,Detail,TEN,DET
1.0,10:31,Lions,David Montgomery 7 yard rush (Jake Bates kick),0,7
,4:07,Titans,Mason Rudolph 11 yard rush (Nick Folk kick),7,7
,3:57,Lions,Jahmyr Gibbs 70 yard rush (Jake Bates kick),7,14
2.0,14:18,Titans,Nick Westbrook-Ikhine 5 yard pass from Mason Rudolph (Nick Folk kick),14,14
,12:51,Lions,Brock Wright 8 yard pass from Jared Goff (Jake Bates kick),14,21
,11:37,Lions,Amon-Ra St. Brown 1 yard pass from Jared Goff (Jake Bates kick),14,28
,2:18,Lions,Sam LaPorta 3 yard pass from David Montgomery (Jake Bates kick),14,35
3.0,12:46,Lions,Kalif Raymond 90 yard punt return (Jake Bates kick),14,42
,6:12,Lions,Kalif Raymond 7 yard pass from Jared Goff (Jake Bates kick),14,49
,1:08,Lions,Jake Bates 51 yard field goal,14,52
