Quarter,Time,Tm,Detail,ARI,MIA
1.0,10:15,Dolphins,Raheem Mostert 1 yard rush (Jason Sanders kick),0,7
,1:16,Dolphins,Jason Sanders 53 yard field goal,0,10
2.0,11:28,Cardinals,Michael Wilson 6 yard pass from Kyler Murray (Chad Ryland kick),7,10
,0:15,Dolphins,Jason Sanders 25 yard field goal,7,13
3.0,11:43,Cardinals,Chad Ryland 57 yard field goal,10,13
,8:31,Dolphins,De'Von Achane 12 yard pass from Tua Tagovailoa (Jason Sanders kick),10,20
,6:15,Cardinals,"Safety, fumble out of bounds in end zone",12,20
,2:08,Cardinals,Marvin Harrison Jr. 22 yard pass from Kyler Murray (run failed),18,20
4.0,12:22,Dolphins,Raheem Mostert 6 yard rush (Jason Sanders kick),18,27
,8:47,Cardinals,James Conner 2 yard rush (Chad Ryland kick),25,27
,0:00,Cardinals,Chad Ryland 34 yard field goal,28,27
