Quarter,Time,Tm,Detail,ATL,TAM
1.0,12:52,Falcons,Kyle Pitts 36 yard pass from Kirk Cousins (Younghoe Koo kick),7,0
,4:22,Buccaneers,Cade Otton 5 yard pass from Baker Mayfield (Chase McLaughlin kick),7,7
2.0,10:28,Buccaneers,Rachaad White 18 yard pass from Baker Mayfield (Chase McLaughlin kick),7,14
,7:19,Falcons,Kyle Pitts 49 yard pass from Kirk Cousins (Younghoe Koo kick),14,14
,2:09,Falcons,Darnell Mooney 30 yard pass from Kirk Cousins (Younghoe Koo kick),21,14
,1:04,Buccaneers,Chase McLaughlin 52 yard field goal,21,17
,0:01,Falcons,Younghoe Koo 39 yard field goal,24,17
3.0,0:14,Falcons,Bijan Robinson 6 yard pass from Kirk Cousins (Younghoe Koo kick),31,17
4.0,12:04,Buccaneers,"Safety, fumble out of bounds in end zone",31,19
,6:52,Buccaneers,Cade Otton 4 yard pass from Baker Mayfield (Chase McLaughlin kick),31,26
