Quarter,Time,Tm,Detail,LVR,CIN
1.0,9:36,Raiders,Zamir White 1 yard rush (Daniel Carlson kick),7,0
,1:39,Bengals,Chase Brown 1 yard pass from Joe Burrow (Evan McPherson kick),7,7
2.0,7:00,Bengals,Evan McPherson 44 yard field goal,7,10
,2:58,Raiders,Daniel Carlson 46 yard field goal,10,10
,0:32,Bengals,Andrei Iosivas 10 yard pass from Joe Burrow (Evan McPherson kick),10,17
3.0,11:27,Bengals,Drew Sample 2 yard pass from Joe Burrow (Evan McPherson kick),10,24
,7:34,Bengals,Mike Gesicki 11 yard pass from Joe Burrow (Evan McPherson kick),10,31
4.0,13:17,Raiders,Jack Jones 29 yard interception return (Daniel Carlson kick),17,31
,5:37,Bengals,Mike Gesicki 47 yard pass from Joe Burrow (Evan McPherson kick),17,38
,1:53,Bengals,Evan McPherson 27 yard field goal,17,41
,0:41,Raiders,Brock Bowers 22 yard pass from Desmond Ridder (Daniel Carlson kick),24,41
