Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Joe Burrow,CIN,34,56,428,4,0,3,7,70,108.3,2,6,0,6,0,0,0,0,0,2,0
Chase Brown,CIN,0,0,0,0,0,0,0,0,,13,42,1,7,11,9,52,0,17,1,1
Tanner Hudson,CIN,0,0,0,0,0,0,0,0,,1,1,0,1,7,6,42,1,10,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,17,11,264,3,70,0,0
Mike Gesicki,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,30,0,13,0,0
Andrei Iosivas,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,29,0,19,0,0
Jermaine Burton,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,11,0,11,0,0
Cam Grandy,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,25,33,290,4,0,0,0,84,141.4,7,33,0,10,0,0,0,0,0,0,0
Derrick Henry,BAL,0,0,0,0,0,0,0,0,,16,68,1,11,1,1,3,0,3,0,0
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,115,1,84,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,68,1,18,0,0
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,54,1,15,0,0
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,34,0,19,0,0
Diontae Johnson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,1,6,0,0
Charlie Kolar,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Justice Hill,BAL,0,0,0,0,0,0,0,0,,2,-2,0,0,2,2,0,0,6,0,0
