Quarter,Time,Tm,Detail,DET,HOU
1.0,7:46,Texans,Joe Mixon 8 yard rush (Ka'imi Fairbairn kick),0,7
,2:09,Texans,Ka'imi Fairbairn 34 yard field goal,0,10
2.0,10:52,Lions,Sam LaPorta 20 yard pass from Jared Goff (Jake Bates kick),7,10
,8:25,Texans,Ka'imi Fairbairn 56 yard field goal,7,13
,4:07,Texans,Ka'imi Fairbairn 29 yard field goal,7,16
,0:12,Texans,John Metchie 15 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,23
3.0,11:34,Lions,David Montgomery 3 yard rush (run failed),13,23
4.0,11:38,Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Jake Bates kick),20,23
,5:01,Lions,Jake Bates 58 yard field goal,23,23
,0:00,Lions,Jake Bates 52 yard field goal,26,23
