Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,ATL,23,38,306,0,1,3,19,33,75.1,0,0,0,0,0,0,0,0,0,2,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,20,116,2,37,4,3,28,0,16,0,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,11,59,0,24,0,0,0,0,0,0,0
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,1,6,0,6,4,3,30,0,20,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,97,0,20,0,0
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,96,0,33,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,55,0,23,0,0
Charlie Woerner,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Derek Carr,NOR,16,25,269,2,0,0,0,67,126.9,4,17,0,13,0,0,0,0,0,1,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,17,55,0,11,6,5,54,0,31,0,0
Taysom Hill,NOR,0,0,0,0,0,0,0,0,,4,14,0,6,2,2,36,0,34,0,0
Jordan Mims,NOR,0,0,0,0,0,0,0,0,,2,10,0,9,2,1,4,0,4,0,0
Marquez Valdes-Scantling,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,109,2,67,0,0
Kevin Austin,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,36,0,22,0,0
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,16,0,0
Dante Pettis,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Foster Moreau,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
