Quarter,Time,Tm,Detail,MIA,LAR
1.0,12:01,Dolphins,Malik Washington 18 yard rush (Jason Sanders kick),7,0
2.0,14:07,Dolphins,Jason Sanders 50 yard field goal,10,0
,5:46,Rams,Joshua Karty 34 yard field goal,10,3
,0:00,Rams,Joshua Karty 55 yard field goal,10,6
3.0,5:32,Dolphins,Tyreek Hill 1 yard pass from Tua Tagovailoa (Jason Sanders kick),17,6
4.0,14:55,Rams,Joshua Karty 53 yard field goal,17,9
,9:07,Dolphins,Jason Sanders 37 yard field goal,20,9
,6:31,Rams,Joshua Karty 22 yard field goal,20,12
,2:38,Dolphins,Jason Sanders 50 yard field goal,23,12
,0:39,Rams,Joshua Karty 31 yard field goal,23,15
