Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kirk Cousins,ATL,18,27,173,0,1,3,21,26,68.9,1,0,0,0,0,0,0,0,0,1,0
Michael Penix,ATL,2,4,24,0,0,1,0,20,68.7,0,0,0,0,0,0,0,0,0,0,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,12,35,0,9,4,4,28,0,15,0,0
Jase McClellan,ATL,0,0,0,0,0,0,0,0,,8,15,0,8,0,0,0,0,0,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,61,0,26,0,0
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,46,0,20,0,0
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,27,0,19,0,0
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,18,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
Ross Dwelley,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Casey Washington,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Bo Nix,DEN,28,33,307,4,0,1,12,41,145.0,2,5,0,3,0,0,0,0,0,0,0
Javonte Williams,DEN,0,0,0,0,0,0,0,0,,9,59,1,14,5,4,28,0,15,0,0
Jaleel McLaughlin,DEN,0,0,0,0,0,0,0,0,,4,19,0,8,0,0,0,0,0,0,0
Audric Estime,DEN,0,0,0,0,0,0,0,0,,6,16,0,5,3,3,9,0,11,0,0
Marvin Mims,DEN,0,0,0,0,0,0,0,0,,3,4,0,6,2,2,49,1,37,0,0
Michael Burton,DEN,0,0,0,0,0,0,0,0,,2,2,0,2,1,1,-2,0,-2,0,0
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,78,0,23,0,0
Devaughn Vele,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,66,0,33,0,0
Lil'Jordan Humphrey,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,52,1,41,1,0
Troy Franklin,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,1,8,0,0
Nate Adkins,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,12,0,0
Adam Trautman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
