Quarter,Time,Tm,Detail,JAX,DET
1.0,9:36,Jaguars,Cam Little 59 yard field goal,3,0
,4:59,Lions,David Montgomery 2 yard rush (Jake Bates kick),3,7
2.0,12:26,Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),3,14
,6:39,Lions,David Montgomery 6 yard rush (Jake Bates kick),3,21
,2:46,Lions,Amon-Ra St. Brown 27 yard pass from Jared Goff (Jake Bates kick),3,28
,0:00,Jaguars,Cam Little 35 yard field goal,6,28
3.0,12:55,Lions,Jameson Williams 64 yard pass from Jared Goff (Jake Bates kick),6,35
,4:16,Lions,Brock Wright 5 yard pass from Jared Goff (Jake Bates kick),6,42
4.0,13:23,Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Jake Bates kick),6,49
,7:49,Lions,Jake Bates 54 yard field goal,6,52
