Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,LAR,18,27,295,4,0,0,0,69,142.7,4,0,0,3,0,0,0,0,0,0,0
Kyren Williams,LAR,0,0,0,0,0,0,0,0,,15,86,0,18,0,0,0,0,0,0,0
Blake Corum,LAR,0,0,0,0,0,0,0,0,,5,21,0,10,1,1,7,0,7,0,0
Puka Nacua,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,123,1,37,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,106,2,69,0,0
Tutu Atwell,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,0
Demarcus Robinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,10,0,0
Colby Parkinson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,1,19,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drake Maye,NWE,29,39,282,2,1,3,25,28,100.6,3,27,0,16,0,0,0,0,0,1,1
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,20,73,0,12,4,4,16,0,9,1,0
Antonio Gibson,NWE,0,0,0,0,0,0,0,0,,4,18,0,7,1,1,2,0,2,0,0
Marcus Jones,NWE,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Jamycal Hasty,NWE,0,0,0,0,0,0,0,0,,2,2,0,5,0,0,0,0,0,0,0
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,70,1,21,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,63,0,15,0,0
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,59,0,28,0,0
Austin Hooper,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,35,0,19,0,0
Kayshon Boutte,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,13,0,0
Vederian Lowe,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,4,0,0
Jaheim Bell,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
