Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Anthony Richardson,IND,20,30,272,1,0,2,31,39,106.5,10,32,2,5,0,0,0,0,0,2,1
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,24,57,0,10,2,1,3,0,3,0,0
Adonai Mitchell,IND,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,33,0,33,0,0
Josh Downs,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,84,1,31,0,0
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,74,0,39,0,0
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,46,0,20,0,0
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,12,0,0
Andrew Ogletree,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Trey Sermon,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,NYJ,22,29,184,2,0,3,22,29,114.7,1,7,0,7,0,0,0,0,0,1,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,16,78,1,18,7,7,43,1,29,0,0
Braelon Allen,NYJ,0,0,0,0,0,0,0,0,,2,6,0,4,0,0,0,0,0,0,0
Davante Adams,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,72,0,24,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,18,0,7,0,0
Xavier Gipson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Kenny Yeboah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,1,11,0,0
Malachi Corley,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,1,0,0,0,2,1,7,0,7,0,0
Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
