Quarter,Time,Tm,Detail,IND,NYJ
1.0,9:07,Colts,Matt Gay 41 yard field goal,3,0
2.0,14:11,Colts,Anthony Richardson 2 yard rush (Matt Gay kick),10,0
,6:08,Colts,Matt Gay 47 yard field goal,13,0
,0:40,Jets,Breece Hall 29 yard pass from Aaron Rodgers (Anders Carlson kick),13,7
3.0,13:22,Jets,Breece Hall 18 yard rush (Anders Carlson kick),13,14
,7:41,Colts,Matt Gay 56 yard field goal,16,14
,2:55,Jets,Anders Carlson 58 yard field goal,16,17
4.0,13:03,Jets,Kenny Yeboah 11 yard pass from Aaron Rodgers (Anders Carlson kick),16,24
,10:11,Colts,Josh Downs 10 yard pass from Anthony Richardson (pass failed),22,24
,2:41,Jets,Anders Carlson 35 yard field goal,22,27
,0:46,Colts,Anthony Richardson 4 yard rush (run failed),28,27
