Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Sam Darnold,MIN,20,32,246,2,0,2,10,47,107.0,8,18,1,6,0,0,0,0,0,1,1
Aaron Jones,MIN,0,0,0,0,0,0,0,0,,15,39,0,5,1,1,4,0,4,1,0
Cam Akers,MIN,0,0,0,0,0,0,0,0,,10,25,0,12,2,2,11,1,8,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,81,0,31,0,0
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,61,1,47,0,0
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,0,21,0,0
Trent Sherfield,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,9,0,0
Brandon Powell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Jalen Nailor,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Will Levis,TEN,17,31,295,1,1,5,34,98,84.7,7,18,0,10,0,0,0,0,0,0,0
Tony Pollard,TEN,0,0,0,0,0,0,0,0,,9,15,0,4,4,2,14,0,10,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,117,1,98,0,0
Calvin Ridley,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,58,0,21,0,0
Tyler Boyd,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,34,0,30,0,0
Bryce Oliver,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,33,0,33,0,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,12,0,0
Tyjae Spears,TEN,0,0,0,0,0,0,0,0,,3,0,0,4,3,2,8,0,5,0,0
Nick Vannett,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Josh Whyle,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
