Quarter,Time,Tm,Detail,CIN,LAC
1.0,6:27,Bengals,Evan McPherson 26 yard field goal,3,0
,3:34,Chargers,Will Dissly 29 yard pass from Justin Herbert (Cameron Dicker kick),3,7
2.0,12:54,Bengals,Evan McPherson 27 yard field goal,6,7
,11:02,Chargers,Quentin Johnston 26 yard pass from Justin Herbert (Cameron Dicker kick),6,14
,4:35,Chargers,J.K. Dobbins 1 yard rush (Cameron Dicker kick),6,21
,0:00,Chargers,Cameron Dicker 19 yard field goal,6,24
3.0,10:29,Chargers,Cameron Dicker 53 yard field goal,6,27
,5:27,Bengals,Ja'Marr Chase 4 yard pass from Joe Burrow (Evan McPherson kick),13,27
,2:53,Bengals,Tee Higgins 42 yard pass from Joe Burrow (Evan McPherson kick),20,27
4.0,12:21,Bengals,Ja'Marr Chase 17 yard pass from Joe Burrow (Evan McPherson kick),27,27
,0:18,Chargers,J.K. Dobbins 29 yard rush (Cameron Dicker kick),27,34
