Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Russell Wilson,PIT,21,28,270,1,0,4,22,46,116.7,3,10,0,10,0,0,0,0,0,1,1
Justin Fields,PIT,0,1,0,0,0,0,0,0,39.6,3,26,0,30,0,0,0,0,0,0,0
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,11,45,1,15,4,3,19,0,11,0,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,16,41,0,11,2,2,13,0,10,0,0
Calvin Austin III,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,78,1,46,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,59,0,22,0,0
George Pickens,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,48,0,31,0,0
Van Jefferson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,39,0,35,0,0
Darnell Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,14,0,6,0,0
Cordarrelle Patterson,PIT,0,0,0,0,0,0,0,0,,1,-2,0,0,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jameis Winston,CLE,18,27,219,0,1,1,0,29,76.0,3,7,1,3,0,0,0,0,0,1,1
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,20,59,2,7,1,1,1,0,1,0,0
Jerome Ford,CLE,0,0,0,0,0,0,0,0,,4,19,0,9,1,1,8,0,8,0,0
Jerry Jeudy,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,85,0,26,0,0
Jordan Akins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,0,18,1,0
Blake Whiteheart,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,29,0,29,0,0
Cedric Tillman,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,28,0,24,1,1
Elijah Moore,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,9,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,9,0,9,0,0
