Quarter,Time,Tm,Detail,MIN,CHI
1,0:53,Bears,Roschon Johnson 1 yard rush (Cairo Santos kick),0,7
2,14:54,Vikings,Jordan Addison 2 yard pass from Sam Darnold (John Parker Romo kick),7,7
,6:29,Vikings,Jalen Nailor 5 yard pass from Sam Darnold (John Parker Romo kick),14,7
,0:00,Bears,Cairo Santos 49 yard field goal,14,10
3,12:40,Vikings,John Parker Romo 40 yard field goal,17,10
,1:22,Vikings,Aaron Jones 2 yard rush (John Parker Romo kick),24,10
4,7:22,Bears,D.J. Moore 10 yard pass from Caleb Williams (pass failed),24,16
,1:56,Vikings,John Parker Romo 26 yard field goal,27,16
,0:22,Bears,Keenan Allen 1 yard pass from Caleb Williams (D.J. Moore pass from Caleb Williams),27,24
,0:00,Bears,Cairo Santos 48 yard field goal,27,27
OT,2:10,Vikings,John Parker Romo 29 yard field goal,30,27
