Quarter,Time,Tm,Detail,TEN,HOU
1.0,14:42,Texans,Cade Stover 19 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),0,7
,11:15,Titans,Nick Folk 51 yard field goal,3,7
,1:57,Titans,Nick Westbrook-Ikhine 38 yard pass from Will Levis (Nick Folk kick),10,7
2.0,11:03,Titans,Tony Pollard 10 yard rush (Nick Folk kick),17,7
,6:17,Texans,Nico Collins 5 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),17,14
,1:47,Texans,Ka'imi Fairbairn 28 yard field goal,17,17
,0:00,Titans,Nick Folk 56 yard field goal,20,17
3.0,9:08,Titans,Nick Folk 51 yard field goal,23,17
,0:04,Texans,Jimmie Ward 65 yard interception return (Ka'imi Fairbairn kick),23,24
4.0,9:46,Texans,Ka'imi Fairbairn 54 yard field goal,23,27
,9:35,Titans,Chigoziem Okonkwo 70 yard pass from Will Levis (Nick Folk kick),30,27
,1:13,Titans,"Safety, C.J. Stroud sacked in end zone by Harold Landry III",32,27
