Quarter,Time,Tm,Detail,DEN,LVR
1.0,2:47,Broncos,Wil Lutz 38 yard field goal,3,0
2.0,13:36,Raiders,Ameer Abdullah 6 yard pass from Gardner Minshew II (Daniel Carlson kick),3,7
,9:21,Broncos,Wil Lutz 53 yard field goal,6,7
,3:48,Raiders,Daniel Carlson 34 yard field goal,6,10
,0:53,Broncos,Wil Lutz 54 yard field goal,9,10
,0:00,Raiders,Daniel Carlson 34 yard field goal,9,13
3.0,10:49,Broncos,Courtland Sutton 18 yard pass from Bo Nix (Wil Lutz kick),16,13
4.0,12:05,Broncos,Wil Lutz 45 yard field goal,19,13
,8:59,Raiders,Daniel Carlson 53 yard field goal,19,16
,5:30,Broncos,Courtland Sutton 2 yard pass from Bo Nix (Wil Lutz kick),26,16
,3:38,Raiders,Daniel Carlson 22 yard field goal,26,19
,1:56,Broncos,Wil Lutz 33 yard field goal,29,19
