Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Cooper Rush,DAL,24,32,247,2,0,1,6,41,117.6,4,1,0,3,0,0,0,0,0,1,0
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,19,86,0,9,3,3,12,0,10,1,1
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,3,6,0,4,0,0,0,0,0,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,1,1,0,1,12,10,67,0,13,0,0
Luke Schoonmaker,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,55,1,24,0,0
Jalen Brooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,41,0,41,0,0
Brevyn Spann-Ford,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,18,0,0
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,1,16,0,0
Hunter Luepke,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Jonathan Mingo,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Trey Lance,DAL,0,0,0,0,0,0,0,0,,1,-3,0,0,0,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jayden Daniels,WAS,25,38,275,2,2,4,8,86,82.7,7,74,1,23,0,0,0,0,0,0,0
Austin Ekeler,WAS,0,0,0,0,0,0,0,0,,9,22,0,3,3,2,2,0,2,1,0
Jeremy McNichols,WAS,0,0,0,0,0,0,0,0,,3,22,0,13,0,0,0,0,0,0,0
Dyami Brown,WAS,0,0,0,0,0,0,0,0,,1,14,0,14,2,2,22,0,20,0,0
Brian Robinson Jr.,WAS,0,0,0,0,0,0,0,0,,5,13,0,7,2,1,11,0,11,0,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,102,1,86,0,0
Noah Brown,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,71,0,19,0,0
Zach Ertz,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,38,1,13,0,0
John Bates,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,1,1
Luke McCaffrey,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Olamide Zaccheaus,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
