Quarter,Time,Tm,Detail,DAL,WAS
1.0,9:01,Commanders,Austin Seibert 41 yard field goal,0,3
2.0,0:03,Cowboys,Brandon Aubrey 46 yard field goal,3,3
3.0,9:53,Commanders,Jayden Daniels 17 yard rush (Austin Seibert kick failed),3,9
,4:40,Cowboys,Jalen Tolbert 6 yard pass from Cooper Rush (Brandon Aubrey kick),10,9
4.0,8:11,Cowboys,Brandon Aubrey 48 yard field goal,13,9
,5:16,Cowboys,Luke Schoonmaker 22 yard pass from Cooper Rush (Brandon Aubrey kick),20,9
,3:02,Commanders,Zach Ertz 4 yard pass from Jayden Daniels (Jayden Daniels run),20,17
,2:49,Cowboys,KaVontae Turpin 99 yard fumble return (Brandon Aubrey kick),27,17
,1:40,Commanders,Austin Seibert 51 yard field goal,27,20
,0:21,Commanders,Terry McLaurin 86 yard pass from Jayden Daniels (Austin Seibert kick failed),27,26
,0:14,Cowboys,Juanyeh Thomas 43 yard kickoff return (Brandon Aubrey kick),34,26
