Quarter,Time,Tm,Detail,BAL,LAC
1.0,9:45,Chargers,Justin Herbert 5 yard rush (Cameron Dicker kick),0,7
2.0,11:26,Chargers,Cameron Dicker 42 yard field goal,0,10
,7:48,Ravens,Lamar Jackson 10 yard rush (Justin Tucker kick),7,10
,0:24,Ravens,Rashod Bateman 40 yard pass from Lamar Jackson (Justin Tucker kick),14,10
,0:00,Chargers,Cameron Dicker 52 yard field goal,14,13
3.0,9:29,Ravens,Justin Tucker 45 yard field goal,17,13
,4:08,Chargers,Cameron Dicker 52 yard field goal,17,16
4.0,12:32,Ravens,Mark Andrews 6 yard pass from Lamar Jackson (pass failed),23,16
,7:24,Ravens,Justice Hill 51 yard rush (Justin Tucker kick),30,16
,0:46,Chargers,Gus Edwards 1 yard rush (Cameron Dicker kick),30,23
