Quarter,Time,Tm,Detail,PIT,CIN
1.0,11:49,Bengals,Cam Taylor-Britt 51 yard interception return (Evan McPherson kick),0,7
,7:41,Steelers,George Pickens 17 yard pass from Russell Wilson (Chris Boswell kick),7,7
,5:01,Bengals,Chase Brown 1 yard rush (Evan McPherson kick),7,14
2.0,14:56,Steelers,Calvin Austin III 23 yard pass from Russell Wilson (Chris Boswell kick),14,14
,9:52,Bengals,Ja'Marr Chase 4 yard pass from Joe Burrow (Evan McPherson kick),14,21
,7:19,Steelers,Najee Harris 10 yard rush (Chris Boswell kick),21,21
,3:31,Steelers,Chris Boswell 50 yard field goal,24,21
,0:00,Steelers,Chris Boswell 34 yard field goal,27,21
3.0,3:53,Bengals,Evan McPherson 38 yard field goal,27,24
,0:22,Steelers,Pat Freiermuth 25 yard pass from Russell Wilson (Chris Boswell kick),34,24
4.0,11:06,Steelers,Payton Wilson 21 yard fumble return (Chris Boswell kick),41,24
,8:39,Bengals,Tee Higgins 1 yard pass from Joe Burrow (Evan McPherson kick),41,31
,3:53,Steelers,Chris Boswell 30 yard field goal,44,31
,2:39,Bengals,Andrei Iosivas 3 yard pass from Joe Burrow (Evan McPherson kick),44,38
