Quarter,Time,Tm,Detail,TEN,WAS
1.0,11:58,Commanders,Brian Robinson Jr. 40 yard rush (Zane Gonzalez kick),0,7
,2:23,Commanders,Jayden Daniels 3 yard rush (Zane Gonzalez kick),0,14
,0:24,Commanders,Terry McLaurin 16 yard pass from Jayden Daniels (Zane Gonzalez kick),0,21
2.0,10:59,Commanders,Terry McLaurin 3 yard pass from Jayden Daniels (Zane Gonzalez kick),0,28
,0:23,Titans,Nick Westbrook-Ikhine 27 yard pass from Will Levis (Nick Folk kick),7,28
3.0,8:41,Titans,Nick Folk 41 yard field goal,10,28
,3:40,Titans,Nick Folk 44 yard field goal,13,28
4.0,14:15,Commanders,Zach Ertz 4 yard pass from Jayden Daniels (Zane Gonzalez kick),13,35
,7:07,Titans,Nick Westbrook-Ikhine 17 yard pass from Will Levis (pass failed),19,35
,3:31,Commanders,Chris Rodriguez 7 yard rush (Zane Gonzalez kick),19,42
