Quarter,Time,Tm,Detail,CLE,DEN
1.0,4:13,Broncos,Javonte Williams 2 yard rush (Wil Lutz kick),0,7
,1:09,Browns,David Njoku 8 yard pass from Jameis Winston (Dustin Hopkins kick),7,7
2.0,8:49,Browns,Dustin Hopkins 45 yard field goal,10,7
,4:03,Broncos,Michael Burton 1 yard rush (Wil Lutz kick),10,14
,1:38,Broncos,Nik Bonitto 71 yard interception return (Wil Lutz kick),10,21
,0:13,Browns,David Njoku 4 yard pass from Jameis Winston (Dustin Hopkins kick),17,21
3.0,10:01,Broncos,Marvin Mims 93 yard pass from Bo Nix (Wil Lutz kick),17,28
,9:50,Browns,Jerry Jeudy 70 yard pass from Jameis Winston (Jerry Jeudy pass from Jameis Winston),25,28
,1:52,Broncos,Wil Lutz 36 yard field goal,25,31
4.0,8:57,Browns,Nick Chubb 5 yard pass from Jameis Winston (Dustin Hopkins kick),32,31
,2:54,Broncos,Wil Lutz 27 yard field goal,32,34
,1:48,Broncos,Ja'Quan McMillian 44 yard interception return (Wil Lutz kick),32,41
