Quarter,Time,Tm,Detail,GNB,DET
1.0,9:41,Lions,David Montgomery 3 yard rush (Jake Bates kick),0,7
2.0,13:01,Lions,Jake Bates 43 yard field goal,0,10
,5:35,Packers,Josh Jacobs 1 yard rush (Brandon McManus kick),7,10
,0:11,Lions,Jahmyr Gibbs 2 yard pass from Jared Goff (Jake Bates kick),7,17
3.0,13:15,Packers,Tucker Kraft 12 yard pass from Jordan Love (Brandon McManus kick),14,17
,11:15,Packers,Josh Jacobs 6 yard rush (Brandon McManus kick),21,17
,5:02,Lions,Tim Patrick 3 yard pass from Jared Goff (Jake Bates kick),21,24
4.0,14:20,Packers,Josh Jacobs 4 yard rush (Brandon McManus kick),28,24
,8:39,Lions,Tim Patrick 1 yard pass from Jared Goff (Jake Bates kick),28,31
,3:38,Packers,Brandon McManus 32 yard field goal,31,31
,0:00,Lions,Jake Bates 35 yard field goal,31,34
