Quarter,Time,Tm,Detail,NYJ,MIA
1,10:24,Dolphins,De'Von Achane 2 yard rush (Jason Sanders kick failed),0,6
,5:19,Jets,Anders Carlson 28 yard field goal,3,6
2,14:53,Dolphins,Jason Sanders 39 yard field goal,3,9
,11:56,Jets,Isaiah Davis 17 yard rush (Anders Carlson kick),10,9
,4:56,Dolphins,Jason Sanders 24 yard field goal,10,12
,0:49,Jets,Anders Carlson 30 yard field goal,13,12
,0:02,Dolphins,Jason Sanders 57 yard field goal,13,15
3,11:20,Jets,Davante Adams 3 yard pass from Aaron Rodgers (Anders Carlson kick),20,15
,1:02,Jets,Anders Carlson 40 yard field goal,23,15
4,9:04,Dolphins,Tyreek Hill 4 yard pass from Tua Tagovailoa (Jaylen Waddle pass from Tua Tagovailoa),23,23
,0:52,Jets,Anders Carlson 42 yard field goal,26,23
,0:07,Dolphins,Jason Sanders 52 yard field goal,26,26
OT,6:05,Dolphins,Jonnu Smith 10 yard pass from Tua Tagovailoa,26,32
