Quarter,Time,Tm,Detail,ATL,MIN
1.0,8:58,Falcons,Tyler Allgeier 6 yard rush (Younghoe Koo kick),7,0
,0:37,Vikings,Jordan Addison 49 yard pass from Sam Darnold (Will Reichard kick),7,7
2.0,2:01,Vikings,Justin Jefferson 12 yard pass from Sam Darnold (Will Reichard kick),7,14
,0:10,Falcons,Younghoe Koo 20 yard field goal,10,14
3.0,5:06,Falcons,Younghoe Koo 29 yard field goal,13,14
,3:25,Vikings,Justin Jefferson 52 yard pass from Sam Darnold (Will Reichard kick),13,21
,0:39,Falcons,Bijan Robinson 13 yard rush (Bijan Robinson run),21,21
4.0,12:59,Vikings,Jordan Addison 11 yard pass from Sam Darnold (Will Reichard kick),21,28
,8:23,Vikings,Jordan Addison 6 yard pass from Sam Darnold (Will Reichard kick),21,35
,3:38,Vikings,Aaron Jones 15 yard rush (Will Reichard kick),21,42
