Quarter,Time,Tm,Detail,BUF,LAR
1.0,8:26,Rams,Kyren Williams 3 yard rush (Joshua Karty kick),0,7
,3:22,Bills,Josh Allen 1 yard rush (Tyler Bass kick),7,7
2.0,13:37,Rams,Joshua Karty 22 yard field goal,7,10
,12:29,Rams,Hunter Long 22 yard blocked punt return (Joshua Karty kick),7,17
,10:23,Bills,Ty Johnson 41 yard pass from Josh Allen (Tyler Bass kick),14,17
,2:36,Rams,Puka Nacua 4 yard rush (Joshua Karty kick),14,24
3.0,8:26,Rams,Kyren Williams 7 yard rush (Joshua Karty kick),14,31
,3:54,Bills,Khalil Shakir 51 yard pass from Josh Allen (Tyler Bass kick),21,31
,0:18,Rams,Cooper Kupp 17 yard pass from Matthew Stafford (Joshua Karty kick),21,38
4.0,14:27,Bills,Josh Allen 1 yard rush (Tyler Bass kick),28,38
,8:49,Bills,Mack Hollins 21 yard pass from Josh Allen (Tyler Bass kick),35,38
,1:54,Rams,Puka Nacua 19 yard pass from Matthew Stafford (Joshua Karty kick failed),35,44
,1:00,Bills,Josh Allen 1 yard rush (Tyler Bass kick),42,44
