Quarter,Time,Tm,Detail,NYJ,JAX
1.0,8:37,Jaguars,Brian Thomas 3 yard pass from Mac Jones (Cam Little kick),0,7
,5:01,Jets,Garrett Wilson 22 yard pass from Aaron Rodgers (Anders Carlson kick),7,7
2.0,2:41,Jaguars,Cam Little 28 yard field goal,7,10
,0:00,Jaguars,Cam Little 23 yard field goal,7,13
3.0,10:28,Jets,Anders Carlson 43 yard field goal,10,13
,8:05,Jaguars,Cam Little 43 yard field goal,10,16
,4:33,Jets,Davante Adams 1 yard pass from Aaron Rodgers (Anders Carlson kick),17,16
4.0,10:58,Jaguars,Brian Thomas 19 yard pass from Mac Jones (pass failed),17,22
,3:24,Jets,Davante Adams 71 yard pass from Aaron Rodgers (Davante Adams pass from Aaron Rodgers),25,22
,1:51,Jaguars,Cam Little 43 yard field goal,25,25
,1:05,Jets,Breece Hall 1 yard rush (Anders Carlson kick),32,25
