Quarter,Time,Tm,Detail,TAM,LAC
1.0,11:14,Buccaneers,Jalen McMillan 26 yard pass from Baker Mayfield (Chase McLaughlin kick),7,0
,6:18,Chargers,Ladd McConkey 7 yard pass from Justin Herbert (Cameron Dicker kick),7,7
2.0,13:41,Buccaneers,Chase McLaughlin 22 yard field goal,10,7
,8:47,Chargers,Cameron Dicker 41 yard field goal,10,10
,7:12,Chargers,Quentin Johnston 13 yard pass from Justin Herbert (Cameron Dicker kick),10,17
,0:33,Buccaneers,Chase McLaughlin 37 yard field goal,13,17
3.0,10:23,Buccaneers,Mike Evans 57 yard pass from Baker Mayfield (Chase McLaughlin kick),20,17
,5:06,Buccaneers,Chase McLaughlin 42 yard field goal,23,17
,1:36,Buccaneers,Mike Evans 35 yard pass from Baker Mayfield (Chase McLaughlin kick),30,17
4.0,7:37,Buccaneers,Rachaad White 11 yard pass from Baker Mayfield (Chase McLaughlin kick),37,17
,2:51,Buccaneers,Chase McLaughlin 43 yard field goal,40,17
