Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drake Maye,NWE,22,36,261,2,1,2,8,32,90.2,6,30,0,13,0,0,0,0,0,2,1
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,12,60,1,14,1,1,13,0,13,1,1
Antonio Gibson,NWE,0,0,0,0,0,0,0,0,,10,28,0,9,2,2,8,0,4,1,0
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,1,6,0,6,5,4,33,0,13,0,0
Dell Pettus,NWE,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Kayshon Boutte,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,95,1,31,0,0
Austin Hooper,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,55,0,26,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,39,1,12,0,0
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,9,0,0
Javon Baker,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Josh Allen,BUF,16,29,154,1,1,1,2,17,67.3,6,30,0,12,0,0,0,0,0,0,0
James Cook,BUF,0,0,0,0,0,0,0,0,,11,100,1,46,3,3,26,1,16,1,0
Ty Johnson,BUF,0,0,0,0,0,0,0,0,,6,30,0,12,1,0,0,0,0,0,0
Ray Davis,BUF,0,0,0,0,0,0,0,0,,5,12,0,8,1,1,17,0,17,0,0
Mack Hollins,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,25,0,13,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,13,0,0
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,22,0,12,1,0
Keon Coleman,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,15,0,7,0,0
Amari Cooper,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
