Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Baker Mayfield,TAM,31,43,303,2,1,4,27,27,97.3,3,42,0,18,0,0,0,0,0,1,0
Bucky Irving,TAM,0,0,0,0,0,0,0,0,,16,68,1,15,3,3,24,0,12,0,0
Sterling Shepard,TAM,0,0,0,0,0,0,0,0,,1,14,0,14,3,1,20,0,20,0,0
Rachaad White,TAM,0,0,0,0,0,0,0,0,,3,10,0,4,8,7,50,0,17,1,1
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,69,0,26,0,0
Jalen McMillan,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,57,1,16,0,0
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,31,0,27,0,0
Payne Durham,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,29,0,7,1,0
Ryan Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1,13,0,0
Rakim Jarrett,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Cooper Rush,DAL,26,35,292,1,0,1,6,52,108.3,3,-4,0,-1,0,0,0,0,0,0,0
Rico Dowdle,DAL,0,0,0,0,0,0,0,0,,13,23,0,6,3,3,28,0,10,0,0
KaVontae Turpin,DAL,0,0,0,0,0,0,0,0,,3,11,0,12,1,1,7,0,7,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,105,0,52,0,0
Brandin Cooks,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,48,0,29,0,0
Ryan Flournoy,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,41,0,26,0,0
Jake Ferguson,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,40,0,21,0,0
Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,1,10,0,0
Luke Schoonmaker,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Hunter Luepke,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
