Quarter,Time,Tm,Detail,TAM,DAL
1.0,9:06,Cowboys,Brandon Aubrey 58 yard field goal,0,3
,2:49,Cowboys,Jalen Tolbert 10 yard pass from Cooper Rush (Brandon Aubrey kick),0,10
2.0,11:30,Buccaneers,Bucky Irving 2 yard rush (Chase McLaughlin kick),7,10
,9:15,Cowboys,Brandon Aubrey 49 yard field goal,7,13
,1:45,Cowboys,Ezekiel Elliott 1 yard rush (Brandon Aubrey kick),7,20
,0:48,Buccaneers,Jalen McMillan 11 yard pass from Baker Mayfield (Chase McLaughlin kick),14,20
,0:00,Cowboys,Brandon Aubrey 58 yard field goal,14,23
3.0,6:33,Cowboys,Brandon Aubrey 53 yard field goal,14,26
,0:31,Buccaneers,Chase McLaughlin 45 yard field goal,17,26
4.0,2:36,Buccaneers,Ryan Miller 13 yard pass from Baker Mayfield (Chase McLaughlin kick),24,26
